rule,acc_mean,acc_std,forgetting_mean,forgetting_std,joint_mean,per_task_forgetting
backprop,0.9836,0.0001,-0.0003,0.0022,0.9815,0.0017;-0.0047;0.0004;0.0013
chl,0.9831,0.0006,-0.0011,0.0028,0.9810,0.0016;-0.0077;0.0005;0.0013
